"location_id","location_name_primary","location_name_secondary","location_detail","location_blockface_elmntkey","location_sidewalk_compkey","location_transit_stop_present","location_neighborhood_type","location_neighborhood","location_character","location_line_typology_vehicular","location_area_typology","location_area_typology_subcategory","location_total_sqft","location_average_number_commercial_seats","location_average_number_public_seats","location_country","location_region","location_city","location_notes"
"UPT3","MERCER ST","BETWEEN 5TH AVE N AND TAYLOR AVE N","N","79,769","‎307684","None","Urban Center","Uptown","Mixed","Urban Village Main","Street","Block face","4,673.94","0","6","United States of America","Washington","Seattle",
"UPT4","1ST AVE W","BETWEEN W REPUBLICAN ST AND W MERCER ST","W","24,269","‎300210","None","Urban Center","Uptown","Mixed","Urban Village Neighborhood","Street","Block face","6,239.83","0","8","United States of America","Washington","Seattle",
"UQA1","QUEEN ANNE AVE N","BETWEEN W BOSTON ST AND MCGRAW ST","W","34,945","‎302405","Bus","Residential Urban Village","Upper Queen Anne","Commercial","Urban Village Neighborhood","Street","Block face","6,121.71","0","15","United States of America","Washington","Seattle",
"UQA2","QUEEN ANNE AVE N","BETWEEN BLAINE ST AND HOWE ST","W","57,617","‎302410","None","Residential Urban Village","Upper Queen Anne","Commercial","Urban Village Neighborhood","Street","Block face","5,731.17","0","6","United States of America","Washington","Seattle",
"WAL1","N 45TH ST","BETWEEN DENSMORE E AVE N AND WALLINGFORD AVE N","N","60,877","‎296341","None","Residential Urban Village","Wallingford","Commercial","Urban Village Neighborhood","Street","Block face","2,262.22","0","4","United States of America","Washington","Seattle",
"WAL2","N 45TH ST","BETWEEN DENSMORE E AVE N AND WALLINGFORD AVE N","S","60,878","‎296340","None","Residential Urban Village","Wallingford","Commercial","Urban Village Neighborhood","Street","Block face","2,828.16","0","9","United States of America","Washington","Seattle",
"WAL3","N 45TH ST","BETWEEN BURKE AVE N AND MERIDIAN AVE N","S","83,466","‎296336","None","Residential Urban Village","Wallingford","Commercial","Urban Village Neighborhood","Street","Block face","3,531.37","0","2","United States of America","Washington","Seattle",
"WAL4","N 45TH ST","BETWEEN WOODLAWN AVE N AND DENSMORE AVE N","N","60,873","‎296287","None","Residential Urban Village","Wallingford","Commercial","Urban Village Neighborhood","Street","Block face","3,058.6","0","2","United States of America","Washington","Seattle",
"WED1","35TH AVE NE","BETWEEN NE 86TH ST AND NE 87TH ST","W","28,205","‎291434","None","Outside","Wedgwood","Commercial","Urban Center Connector","Street","Block face","2,963.27","0","8","United States of America","Washington","Seattle",
"WED2","35TH AVE NE","BETWEEN NE 85TH ST AND NE 86TH ST","W","5,377","‎291436","None","Outside","Wedgwood","Commercial","Urban Center Connector","Street","Block face","3,530.72","12","0","United States of America","Washington","Seattle",
"WES1","CALIFORNIA AVE SW","BETWEEN SW OREGON ST AND SW ALASKA ST","E (SW Alaska St north to midblock crosswalk)","32,342","‎326187","None","Hub Urban Village","West Seattle Junction","Commercial","Urban Village Neighborhood","Street","Block face","3,136.05","0","5","United States of America","Washington","Seattle",
"WES2","CALIFORNIA AVE SW","BETWEEN SW OREGON ST AND SW ALASKA ST","E (SW Oregon St south to midblock crosswalk)","32,342","‎326187","None","Hub Urban Village","West Seattle Junction","Commercial","Urban Village Neighborhood","Street","Block face","2,327.13","0","4","United States of America","Washington","Seattle",
"WES3","CALIFORNIA AVE SW","BETWEEN SW OREGON ST AND SW ALASKA ST","W (SW Alaska St north to midblock crosswalk)","32,341","‎327801","None","Hub Urban Village","West Seattle Junction","Commercial","Urban Village Neighborhood","Street","Block face","3,697.94","0","9","United States of America","Washington","Seattle",
"WES4","CALIFORNIA AVE SW","BETWEEN SW OREGON ST AND SW ALASKA ST","W (SW Oregon St south to midblock crosswalk)","32,341","‎327801","None","Hub Urban Village","West Seattle Junction","Commercial","Urban Village Neighborhood","Street","Block face","2,726.85","0","0","United States of America","Washington","Seattle",
"WHP1","DELRIDGE WAY SW","BETWEEN 17TH AVE SW AND SW ROXBURY ST","SW","77,910","‎321417","None","Residential Urban Village","Westwood - Highland Park","Commercial","Urban Village Main","Street","Block face","5,541.77","0","0","United States of America","Washington","Seattle",
"WHP2","DELRIDGE WAY SW","BETWEEN 17TH AVE SW AND SW ROXBURY ST","NE","77,909","‎321418","None","Residential Urban Village","Westwood - Highland Park","Commercial","Urban Village Main","Street","Block face","5,340.98","0","0","United States of America","Washington","Seattle",
